el,en
covered with,καλυμμένος με
covering,που καλύπτει
cover up,συγκαλύπτω
covet,λιγουρεύω
cow,αγελάδα
cowardly,κιοτής
cowboy,κάου-μπόι
cower,μαζεύομαι
cowl,κάλυμμα καμινάδας
coy,ντροπαλός
crab,καβουράκι
crabiness,τζαναμπετιά
crack,ράγισμα
cracker,βαρελότο
crackle,τριζοβολώ
crack of dawn,άγρια χαράματα
cradle,λίκνο
craft,σκάφος
craftsman,τεχνίτης
crafty,μουσίτσα
crag,βράχος
cram,ξερό μπισκοτάκι
cramp,κράμπα
cramped,στριμωγμένος
crane,γερανός
craniotomy,κρανιοτομία
crank,μανιβέλα
crap,σκατά
crash,πάταγος
crash barrier,προστατευτικό κιγκλίδωμα
crashes,συγκρούσεις
crash helmet,κράνος
crash into,τρακάρω
crash land,κάνω αναγκαστική προσγείωση
crate,καφάσι
crater,κρατήρας
craving,δίψα
crawfish,ποταμοκαραβίδα
crawl,μπουσουλάω
crayfish,ποταμοκαραβίδα
craze,τρέλα
crazily,τρελά
crazy,τρελούτσικος
creak,τρίζω
creaky,τριζάτος
cream,κρέμα
cream coloured courser,αμμοδρόμος
creamy,κρεμώδης
crease,τσαλάκα
creased,ζαρωμένος
create,δημιουργώ
create a diversion,δημιουργώ αντιπερισπασμό
create a division,δημιουργώ σχισμή
create a rift,προκαλώ χάσμα
creation,δημιουργία
creative,δημιουργικός
creativity,δημιουργικότητα
creator,δημιουργός
creature,πλάσμα
credentials,διαπιστευτήρια
credit,πίστωση
creditor,πιστωτής
credulous,ευκολόπιστος
creed,πίστη
creek,ρεύμα
creep,έρπω
creeping,που απλωνεται σιγά-σιγά
creme de la creme,άκρον άωτον
creole,μιγάς
crepe,κρεπ
crescent,ημισέληνος
cress,κάρδαμο
crest,οικόσημο
crested coot,λειροφαλαρίδα
Cretan,Κρητικός
Crete,Η Κρήτη
crevasse,ρωγμή
crevice,σχισμή
crew,εργάτες θεάτρου
cricket,κρίκετ
cricketer,παίκτης κρίκετ
cried,φώναξα
crime,έγκλημα
crime rate,δείκτης εγκληματικότητας
criminal,εγκληματικός
criminal court,ποινικό δικαστήριο
criminality,εγκληματικότητα
criminal record,ποινικό μητρώο
criminology,εγκληματολογία
crimson,βαθύ κόκκινο
cripple,ανάπηρος
crisis crises,κρίση
crisp,τσουχτερός
crisps,τσιπς
criss-cross,τέμνω σταυροειδώς
crista galli,κάλαιον του ηθμοειδούς οστού
criterion,κριτήριο
critic,κριτικός
critical,καίριος
critically,κριτικά
critical of,επικριτικός
criticise,κριτικάρω
criticism,επίκριση
criticize,επικρίνω
critics,επικριτές
croak,μιλώ με τραχιά φωνή
Croatia,Κροατία
crock,στάμνα
crockery,πιατικά
crocodile,κροκόδειλος
crocus,κρόκος
croft,μικροεκμετάλλευση
crook,γκλίτσα
crooked,στραβός
croon,τραγουδώ σε χαμηλό τόνο
crop,κουρεύω
crops,σοδειές
croptailed,κολοβός
croquet,κροκέ
crosbar,τραβέρσα
cros beam,τραβέρσα
cross,γέμισμα
crossbar,οριζόντιο δοκάρι
crossbow,βαλλίστρα
cross-check,διασταυρώνω
cross cultural,διαπολιτισμικός
crossed,χιαστός
cross-eyed,γκαβός
crossing,διάβαση
cross-match,έλεγχος ιστοσυμβατότητας
cross over,περνώ απέναντι
cross pollination,διασταύρωση
cross-roads,σταυροδρόμιο
cross the boundary,περνώ την γραμμή
cross the road,διασχίζω τον δρόμο
crossword,σταυρόλεξο
crotchet,τσιγγέλι
crouch,κάθομαι οκλαδόν
crow,κουρούνα
crowbar,λοστός
crowd,πλήθος
crowded,φίσκα
crowds,πλήθη
crown,κορόνα
crowned with laurels,δαφνοστεφής
crucial,ζωτικός
crucible,πυρίμαχο σκεύος
crucifixion,σταύρωση
cruciform,χιαστός
crude,ωμός
crude oil,μαζούτ
crudity,χυδαία συμπεριφορά
cruel,απάνθρωπος
cruelly,απάνθρωπα
cruelty,απανθρωπιά
cruise,κρουαζιέρα
cruiser,καταδροικό
cruising altitude,ύψος πλεύσης
cruising ceiling,οροφή πλεύσης
cruising speed,αποδοτική ταχύτητα
crumb,ψίχουλο
crumble,θρυμματίζω
crumbled,τετριμμέμνος
crumple,ζαρώνω
crunch,κριτσανίζω
crunching,που τρίζει
crusade,σταυροφορία
crush,συνωστισμός
crushed,που έχει συνθλιβεί
crushed grain,μπλιγούρι
crushing,συντριπτικός
crust,καύκαλο
crustacean,οστρακοειδής
crutch,δεκανίκι
crutches,πατερίτσες
crux,ζωτικό σημείο
cry,φωνάζω
crying,κλάψιμο
crypt,κρύπτη
crystal,κρύσταλλος
crystallised sugar,αποκρυσταλλωμένη ζάχαρη
cub,νεογέννητο
cube,κύβος
cubical,κυβικός
cubic capacity,κυβισμός
cubicle,θαλαμίσκος
cuckoo,κούκος
cucumber,αγγούρι
cue,στέκα
cuff,μανικέτι
cuffs,μανικέτi
cuisine,κουσίνα
cul de sac,αδιέξοδο
culinary,μαγειρικός
culminate in,αποκορυφώνομαι
culprit,φταίχτης
cult,θρησκεία ανορθόδοξη ή πλαστή
cultivate,καλλιεργώ
cultural,πολιτιστικός
culture,πολιτισμός
culture vulture,κουλτουριάρης
cum,ζουμί
cumulative,σωρευτικός
cunning,πανουργία
cunt,πατσαβούρα
cup,φλιτζάνι
cupboard,ντουλάπι
cupola,τρούλος
cur,κοπρόσκυλος
curator,διευθυντής μουσείου
curb,κράσπεδο
curd,στάλπη
curdle,πήζω
curdling,σύμπηξη
cure,καπνίζω
cured,θεραπευμένος
cure of,θεραπεύω
curfew,απαγόρευση κυκλοφορίας
curiosity,περιέργεια
curious,περίεργος
curiously,περίεργα
curl,μπούκλα
curlew,τουρλίδα
curlew sandpiper,δρεπανοσκαλίδρα
curling,σκωστέζικο παιχνίδι σε πάγο
curly,σγουρός
currant,κορινθιακή σταφίδα
currency,νόμισμα
currency rates,τιμές συναλλάγματος
current,ρεύμα
current affairs programme,πρόγραμμα επικαιρότητας
currently,σήμερα
curriculum vitae,βιογραφικό σημείωμα
curry,κάρι
curse,αναθεματίζω
cursed,εναγής
cursor,κέρσορας
cursory,απρόσεκτος
curtail,περικόπτω
curtailment,περικοπή
curtain,κουρτίνα
curtness,απότομη συμπεριφορά
curvature,κύρτωμα
curve,καμπύλη
curved,κυρτός
cushion,μαξιλάρι
cushy job,θεσούλα
custody,φύλαξη
custom,έθιμο
customer,μουστερής
customers,πελάτες
customize,φτιάχνω κατά παραγγελία
customs,τελωνείο
customs officer,τελωνειακός
cut,κόψιμο
cut across,κόβω δρόμο
cut and dried,οριστικός
cut back on,περικόπτω
cut down,λιγοστεύω
cut down on,λιγοστεύω
cute,πανέξυπνος
cuticle,εφυμενίδα
cut in,διακόπτω
cut in two,κόβω στη μέση
cutlery,μαχαιροπήρουνα
cut off,ξεκόβω
cut out,εκτέμνω
cut out for,είμαι ταιριαστός
cut out the shilly-shallying,άσε τα ήξεις αφήξεις
cuts and bruises,εκδορές και μώλωπες
cuts and bruising,εκδορές καί μώλωπες
cut the ties,κόβω τους δεσμούς
cutthroat competition,σκληρός ανταγωνισμός
cut-throat competition,σκληρός ανταγωνισμός
cutting edge,πρωτοποριακός
cutting wind,τσουχτερός άνεμος
cuttlefish,σουπιά
cut up,κόβω σε μικρά κομμάτια
cyberspace,κυβερνόχωρος
cycle,κύκλος
cycle clips,πιαστράκια
cyclic stressing,κυκλική τάση
cycling,ποδηλασία
cyclist,ποδηλάτης
cyclone,κυκλώνας
cylinder,κύλινδρος
cymbal,κύμβαλο
cynical,κυνικός
cynically,κυνικά
cynicism,κυνισμός
cypress,κυπαρίσσι
Cyprus,Κύπρος
cystic fibrosis,κυστική ίνωση
Czech,τσεχικά
dab,καλκάνι
dad,μπαμπάς
daddy,μπαμπάς
daffodil,ασφόδελος
dagger,μαχαίρι
daily,καθημερινός
dairy,γαλακτομείο
daisy,μαργαρίτα
Dalmatian pelican,αργυροπελεκάνος
dam,φράγμα
damage,βλάπτω
damaged,ζημιωμένος
damaging to the nation,εθνοβόρος
damnation,κόλαση
damned,κολασμένος
damning,καταδικαστικός
damn it,να πάρη η ευχή
damp,υγρός
damping,απόσβεση
dampness,υγρασία
damp-proof construction,ανθυγρή κατασκευή
dance,χορεύω
dancer,χωρευτής
dancing,χορός
dandruff,πιτυρίδα
dandy,δανδής
danger,κίνδυνος
dangerous,ριψοκίνδυνος
dangerously,επικίνδυνα
dangle,κρεμιέμαι
Danish,δανικά
dank,νοτερός
dapper,φιλάρεσκος
dappled,παρδαλός
daring,τόλμημα
dark,σκοτεινός
darling,αγάπη μου
darn,μαντάρω
dart,βέλος
dash,τρέχω
dashboard,ταμπλό
dashing,κομψός
data,δεδομένα
database,βάση δεδομένων
datagram,ανεξάρτητο δοτόδεμα
date,ημερομηνία
date from,χρονολογούμαι από
daughter,κόρη
daughter-in-law,νύφη
dauphin,δελφίνος
dawn,αυγή
dawn on,συνειδητοποιώ
day,μέρα
day's wages,μεροκάματο
daydream,ονειροπόληση
day dream,ονειροπολώ
day in lieu,ρεπό
daylight,φως της ημέρας
day off,ρεπό
days,μέρες
dazed,ζαλισμένος
dazzle,τυφλώνω
dazzling,εκθαμβωτικός
dcline,αρνούμαι
deacon,διάκονος
dead,πεθαμένος
dead drunk,σε κραιπάλη μέθης
dead-end,αδιέξοδο
dead heat,ισοπαλία
deadline,τελευταία προθεσμία
deadlock,απραξία
deadly,μοιραίος
dead reckoning,στίγμα από αναμέτρηση
deaf,κουφός
deafening,εκκωφαντικός
deal,αγορά
dealer,έμπορος
deal in,εμπορεύομαι σε
dealings,πάρε-δώσε
deal the cards,μοιράζω τα χαρτιά
deal wit,ασχολούμαι με
deal with,τακτοποιώ
dean,κοσμήτορας
dear,ακριβός
dearly,ακριβά
death,θάνατος
death by misadventure,θάνατος από ατύχημα
deathly,νεκρικός
death rattle,ρόγχος
debacle,κατάρρευση
debase,προστυχαίνω
debatable,συζητήσιμος
debate,συζήτηση
debauch,μαυλίζω
debauched,έκλυτος
debauchery,μαύλισμα
debilitate,καταβάλλω
debilitating,που εξασθενίζει
debility,ατονία
debit,χρέωση
debris,συντρίμια
debt,χρέος
debt equity ratio,δείκτης δανειακής επιβάρυνσης
debt ratio,αναλογία φερεγγυότητας
debut,πρώτη εμφάνιση
decade,δεκαετία
decanter,καράφα
decay,φθορά
decayed,σαθρός
deceased,αποθανών
deceased person,μακαρίτης
deceit,απάτη
deceitful,απατηλός
deceive,εξαπατώ
deceived,πλανημένος
decelerate,επιβραδύνω
decelerating,επιβραδυντικός
December,Δεκέμβριος
decency,φρονιμάδα
decent,ευπρεπής
deceptive,απατηλός
decide,αποφασίζω
decide against,αποφασίζω κατά
decide for,αποφασίζω υπέρ
decide on,αποφασίζω για
deciduous,φυλλοβόλος
decimate,αποδεκατίζω
decipher,αποκρυπτογράφω
decision,απόφαση
decisive,καθοριστικός
decisively,αποφασιστικά
decisiveness,αποφασιστικότητα
deck,κατάστρωμα
deck chair,ξαπλωτή καρέκλα
deck of cards,τράπουλα
declaration,κήρυξη
declare,δηλώνω
declare war,κηρύσσω πόλεμο
decline,κλίνω
declining,φθίνουσα
declivity,κατήφορος
decompose,σαπίζω
decomposer,αποικοδομήτης
decontaminate,απολυμαίνω
decorate,διακοσμώ
decorated,διακοσμημένος
decoration,διακόσμηση
decorative,διακοσμητικός
decorous,ευπρεπής
decorum,ευπρέπεια
decoy,δόλωμα
decrease,μείωση
decree,θέσπισμα
dedicated,αφοσιωμένος
dedicated to,αφιερωμένος
dedicate oneself to,αφοσιώνομαι
dedicate to,αφιερώνω
dedication,προσήλωση
deduce,συνάγω
deducible,συναγομένος
deduct,εκπίπτω
deduction,έκπτωση
deductive reasoning,παραγωγικός συλλογισμός
deem,κρίνω
deep,βαθύς
deep-freeze,καταψύκτης
deeply,βαθιά
deep-rooted,βαθειά ριζωμένος
deer,ζαρκάδι
defamation,δυσφύμιση
defamatory,συκοφαντικός
defame,δυσφημώ
default,αθέτηση
defeat,κάνω ζάφτι
defeated,ηττημένος
defeatism,ηττοπάθεια
defeatist,ηττοπαθής
defect,κουσούρι
defection,αποσκίρτηση
defective,ελλειπτικός
defence,συνηγορία
defenceless,ανυπεράσπιστος
defend,προστατεύω
defend against,υπερασπίζω
defendant,εναγόμενος
defend one's rights,υπερασπίζω τα δικαιώματά μου
defensive,αμυντικός
defensively,αμυντικά
defer,αναβάλλω
deferential,με σεβασμό
deferred payment,προθεσμιακός διακανονισμός
deferring,παρέκλυση
defiant,ιταμός
deficient,ελλιπής
deficit,έλλειμα
defies description,δεν επιδέχεται περιγραφή
defile,μαγαρίζω
define,προσδιορίζω
definite,οριστικός
definitely,οριστικά
definition,ορισμός
deflation,αποπληθωρισμός
deflect,εκτρέπω
defloration,διακόρευση
deforestation,καταστροφή δασών
deformed,παραμορφωμένος
deformity,παραμόρφωση
defraud,φενακίζω
defrock,καθαιρώ
defrost,ξεπαγώνω
deft,επιδέξιος
deftly,σβέλτα
defuse,αφοπλίζω
defy,αψηφώ
degenerate,εκφυλίζομαι
degeneration,εκφύλιση
degenerative,εκφυλιστικός
degrade,εκφαυλίζω
degraded,υποβιβασμένος
degree,βαθμός
degree Celsius,βαθμός Κέλσιου
dehumanise,αποκτηνώνω
dehumidify,αφαιρώ την υγρασία
dehydrated,αφυδατωμένος
dehydration,αφυδάτωση
dejected,κατηφής
dejectedly,αποκαρδιωμένα
delay,καθυστέρηση
delayed,καθυστερημένα
delectable,απολαυστικός
delegate,δίνω εντολή
delegation,αντιπροσωπεία
delete,διαγράφω
deliberate,εσκεμμένος
deliberately,σκόπιμα
delicacy,λεπτότητα
delicate,φίνος
delicate matter,λεπτό θέμα
delicious,νόστιμος
delight,εντρυφώ
delighted,ευχαριστημένος
delightful,ευφρόσυνος
delimit,οριοθετώ
delineate,σκιαγραφώ
delinquent,εγκληματίας
delirium,παραλήρημα
deliver,παραδίδω
deliverable,παραδοτέος
deliver a speech,βγάζω λόγο
deliver the goods,παραδίδω τα αγαθά
delivery,παραλαβή
dell,λαγκαδιά
delude,εξαπατώ
deluge,κατακλυσμός
delve,αναζητώ
demand,απαιτώ
demand for,απαίτηση
demanding,απαιτητικός
demarcation,οροθεσία
dematerialize,εξαϋλώνω
demented,παράφρων
demerit,κακός βαθμός
demi-god,ημίθεος
demilitarisation,αποστρατιωτικοποίηση
demise,τέλος
demist,εξαχνώνω
demister,διαχωριστής σταγονιδίων
demobilise,αποστρατεύω
democratic,δημοκρατικός
demodulator,αποδιαμορφωτής
demoiselle crane,νυφογερανός
demolition,κατεδάφιση
demon,τελώνιο
demonstrate,διαδηλώνω
demonstration,διαδήλωση
demonstration of,επίδειξη
demonstrator,διαδηλωτής
demoralization,έκλυση
demote,υποβαθμίζω
demur,ένσταση
demure,σεμνός
demystification,απομυθοποίηση
den,φωλιά θηρίου
denarius,δηνάριος
denial,άρνηση
denigrate,κακολογώ
denigration,δυσφήμιση
denim,τζιν
denim jacket,τζιν μπουφάν
denizen,κάτοικος
Denmark,Δανός
denote,υποδηλώ
denounce,καταγγέλνω
dense,δασύς
densely populated,πυκνοκατοικημένος
dent,βαθουλώνω
dental,οδοντικός
dental assistant,βοηθός οδοντογιατρού
dentex,συναγρίδα
dentist,οδοντίατρος
dentures,μασέλες
denude,απογυμνώνω
denuded,απογυμνωμένος
denunciation,καταγγελία
deny,αρνούμαι
deodorant,αποσμητικό
depart from,αποχωρώ
departing,που αναχωρεί
department store,πολυκατάστημα
departure,απόκλιση
departure from,αποχώρηση
departure lounge,αίθουσα αναχώρησης
departures board,πίνακας αναχωρήσεων
depend,εξαρτώμαι
dependable,συνεπής
dependence,εξάρτηση
dependency,εξάρτηση
dependent,προστατευόμενο μέλος
dependent on,εξαρτημένος
depending,εξαρτούμενος
depending on,εξαρτώμενος
depend on,εξαρτώμαι από
depict,απεικονίζω
depiction,απεικόνιση
depilation,αποτρίχωση
deplete,εξαντλώ
depletion,εξάντληση
deplore,ελεεινολογώ
deploy,παρατάσσω
deponent verb,αποθετικό ρήμα
depopulate,ερημώνω
deport,εκτοπίζω
deportation,απέλαση
depose,εκθρονίζω
deposit,επαναθέτω
depositor,καταθέτης
deprecate,αποδοκιμάζω
deprecatory,επικριτικός
depreciation,υποτίμηση
depredation,λεηλασία
depress,μελαγχολώ
depressed,θλιμμένος
depressingly,θλιβερά
depression,κατάθλιψη
depress the clutch,πατώ την απομόνωση
deprivation,στέρηση
deprive,αποστερώ
deprived,στερημένος
deprive of,στερώ
depth,βάθος
deputy head,υποδιευθυντής
derail,εκτροχιάζομαι
derby,ντέρμπι
derelict,εγκαταλειμμένος
deride,περιγελώ
derision,χλευασμός
derivative,παράγωγος
derive,παράγομαι
derive courage from,αντλώ το θάρρος από
derogatory,υποτιμητικός
derrick,πύργος γεωτρήσεως
descend,προέρχομαι
descendant,απόγονος
descent,καταγωγή
descrambler,αποψευδοτυχαιοποιητής
describe,περιγράφω
describing,που περιγράφει
description,περιγραφή
description of,περιγραφή του
desecration,σύληση τάφου
desert,έρημος
deserted,εγκαταλειμμένος
deserve,αξίζω
desforestation,καταστροφή δασών
design,σχεδιασμός
designer,σχεδιαστής
desirable,επιθυμητός
desire,επιθυμία
desirous,επιθυμών
desirous of,επιθυμών
desk,θρανίο
despair,απόγνωση
despair of,απελπίζομαι
desperate,απεγνωσμένος
desperately,απελπισμένα
despicable,ποταπός
despite,παρ'όλο
despondent,αποκαρδιωμένος
despotic,δεσποτικός
dessert,επιδόρπιο
destination,προορισμός
destine,προορίζω
destined,προοριζόμενος
destiny,πεπρωμένο
destitute,άπορος
destroy,καταστρέφω
destroyed,κατεστραμμένος
destroyer,τορπιλικό
destruction,καταστροφή
destructive,καταστροφικός
desultory,άτακτος
detach,αποκολλώ
detached,αποκολλημένος
detached house,μονοκατοικία
detachment,αποκόλληση
detail,λεπτομέρεια
detailed,λεπτομερής
detailed examination,εμβάθυνση
details,λεπτομέριες
detain,καθυστερώ
detainee,κρατούμενος
detain illegally,κατακρατώ
detect,ανιχνεύω
detective,ντεντέκτιβ
detente,ύφεση
detention centre,σωφονιστήριο
detergent,απορρυπαντικό
deteriorate,χειροτερεύω
deteriorating,που χειροτερεύει
deterioration,επιδείνωση
determination,όρισμος
determine,αποφασίζω
determined,αποφασισμένος
determinedly,αποφασισμένα
determined to,αποφασισμένος να
deterrent,αποτρεπτικό
detest,σιχαίνομαι
detestable,βδελυρός
detour,παράκαμψη
detoxify,αποτοξινώνω
detract from,μειώνω
detractors,επικριτές
detrimental,επιβλαβής επιζήμιος
detritus,κατάλοιπα
devaluation,υποτίμηση
devalued,υποτιμημένος
devastate,δηώνω
devastating,ολέθριος
devastation,ρήμαγμα
develop,αναπτύσσομαι
develop a film,εμφανίζω
developer,εμφανιστής
developing,αναπτυσσόμενος
development,ανάπτυξη
deviant,παρεκκλίνων
deviate,παρεκκλίνω
deviation,απόκλιση
device,μηχάνημα
device driver,οδηγός συσκευής
devil,ο εξαποδώ
devil's advocate,δικηγόρος του διαβόλου
devilish,σατανικός
devious,ύπουλος
devise,μηχανε
devoid of,άνευ
devote,αφιερώνω
devoted,αφοσιωμένος
devoted to,αφιερωμένος
devotee,μερακλής
devote oneself to,αφοσιώνομαι
devotion,αφιέρωση
devour,καταβροχθίζω
devout,ευσεβής
devoutness,ευσέβεια
dew,δρόσος
dexterity,δεξιοτεχνία
dexterous,επιτήδειος
diabetes,διαβήτης
diabetes mellitus,σακχαρώδης διαβήτης
diabetic,διαβητικός
diadem,διάδημο
diagnose,κάνω την διάγνωση
diagnosis,διάγνωση
diagonal,διαγωμικός
dial,καντράν
dialogue,διάλογος
dial tone,τόνος επιλογής
diameter,διάμετρος
diametrically,εκ διαμέτρου
diamond,διαμάντι
diaper,πάνα
diaphragm,διάφραγμα
diarrhoea,διάρροια
dice,ζάρια
dick,ψωλή
dictate,υπαγορεύω
dictation,υπαγόρευση
dictator,δικτάτορας
dictatorship,δικτατορία
diction,λεκτικό ύφος
dictionaries,λεξικά
dictionary,λεξικό
die,τεζάρω
die away. die down,σβήνω σιγά-σιγά
die of,πεθαίνω από
die out,σβήνω
diesel fuel,ντίζελ
diet,διαιτολόγιο
dietician,διαιτολόγος
differ,διαφέρω
difference,διαφορά
difference between,διαφορά ανάμεσα
different,διαφορετικός
different from,διαφορετικός από
differentiate,διαφοροποιώ
differentiation,διαφοροποίηση
differently,διαφορετικά
differing,που διαφέρει
difficult,δύσκολος
difficult position,δύσκολη θέση
difficult to digest,δυσκολοχώνευτος
difficulty,δυσκολία
diffident,άτολμος
dig,σκάβω
digest,χωνεύω
digestion,πέψη
digestive,πεπτικός
digestive disorder,πεπτική διαταραχή
digestive tract,πεπτικό σύστημα
digger,εκσκαφέας
digging,σκάψιμο
digit,ψηφίο
digital,ψηφιακός
digitization,ψηφιοποίηση
dignified,αξιοπρεπής
dignity,αξιοπρέπεια
dig out,σκάβω
digression,παρέκβαση
dig up,ξεριζώνω
dike,τάφρος
dilapidated,σαθρός
dilatable,διασταλτός
dilate and curettage,διαστολή και απόξεση
dilated,διασταλμένος
dilating,διασταλτικός
dilation,διαστολή
dilemma,δίλημμα
dilettante,ερασιτέχνης
diligence,φιλοτεχνία
diligent,εργατικός
dill,άνηθο
dilute,αραιώνω
diluted,αραιωμένος
diluvian,κατακλυσμικός
dim,θαμπός
dimension,διάσταση
dimesnional,διαστασιακός
diminish,συρρικνώνομαι
diminishing returns,φθίνουσες αποδόσεις
diminutive,υποκοριστικός
dimming,θόλωμα
dimness,θολούρα
dimple,λακκάκι
dimwit,βλάκας
din,πάταγος
dine,γευματίζω
dingle,λαγκαδιά
dining car,βαγόνι εστιατόριο
dining-room,τραπεζαρία
dinner,βραδινό
dinner jacket,σμόκιν
dinosaur,δεινόσαυρος
dioxide,διοξείδιο
dip,βουτώ
diploma,δίπλωμα
diplomacy,διπλωματία
diplomat,διπλωμάτης
diplomatic,διπλωματικός
diplomatic corps,διπλωματικό σώμα
dipper,νεροκότσυφας
dire,τρομερός
direct,καθοδηγώ
direct current,συνεχές ρεύμα
direction,κατεύθυνση
directions,οδηγίες
directive,οδηγία
director,σκηνοθέτης
directory,τηλεφωνικός κατάλογος
direct train,τραίνο κατ'ευθείαν προς
dirge,μοιρολόι
dirt cheap,πάμφθηνος
dirtiness,μουρνταριά
dirt is,βρομιά είναι
dirty,λερωμένος
disability,ανικανότητα
disable,αχρηστεύω
disadvantage,μειονέκτημα
disaffection,δυσαρέσκεια
disagree,διαφωνώ
disagreeing,που διαφωνεί
disagreement,ασυμφωνία
disagreements,διαφωνίες
disagree with,διαφωνώ
disappear,εξαφανίζομαι
disappearance,εξαφάνιση
disappeared,εξαφανισμένος
disappoint,απογοητεύω
disappointed,απογοητευμένος
disappointing,απογοητευτικός
disappointment,απογοήτευση
disapproval,αποδοκιμασία
disapproval of,αποδοκιμασία
disapprove of,αποδοκιμάζω
disaray,αταξία
disarmament,αφοπλισμός
disassemble,αποσυναρμολογώ
disaster,συμφορά
disastrous,καταστροφικός
disavow,αποκηρύσσω
disbelief,δυσπιστία
disc,δίσκος
discard,απορρίπτω
disc brake,δισκόφρενο
discern,διαβλέπω
discernible,ευδιάκριτος
discharge,απολύω
disciple,μαθητής
disciplinary,πειθαρχικός
discipline,πειθαρχία
disclaim,αρνούμαι
disclose,αποκαλύπτω
disclosure,αποκάλυψη
disco,ντίσκο
discomfort,δυσφορία
disconcert,αποσβολώνω
disconnect,αποσυνδέω
disconnected,χωρίς ειρμό
discontent,δυσφορία
discord,διχόνοια
discount,σκόντο
discourage,αποβαρρύνω
discover,ανακαλύπτω
discovery,ανακάλυψη
discredit,θέτω υπό αμφισβήτηση
discreet,εχέμυθος
discreetly,διακριτικά
discrepancy,ασυμφωνία
discrete,διακριτικός
discrete state,διάκριτη κατάσταση
discretion,περίσκεψη
discriminate,κάνω διακρίσεις
discriminate against,κάνω διάκριση
discriminating,οξυδερκής
discrimination,διακρίσεις
discs,δίσκοι
discus,δισκοβολία
discuss,συζητώ
discussion,συζήτηση
discusss at great length,διεξέρχομαι λεπτομερώς
disdainful,περιφρονητικός
disease,ασθένεια
disembark,αποβιβάζομαι
disembodied,άϋλος
disembodied voice,απλώς μια φωνή μονάχα
disembowel,ξεντερίζω
disenchantment,απογοήτευση
disentangle,ξεμπλέκω
disfavour,δυσμένεια
disfigured,παραμορφωμένος
disgrace,δυσμένεια
disgraceful,επαίσχυντος
disguise,μεταμφίεση
disguised,συγκεκαλυμμένος
disgust,αηδιάζομαι
disgusting,αηδιαστικός
dish,πιάτο
disheartened,αποκαρδιωμένος
dishonest,άτιμος
dish washer,πλυντήριο πιάτων
disillusioned,απογοητευμένος
disinclination,απροθυμία
disinfect,απολυμαίνω
disinfectant,απολυμαντικό
disinherit,αποκληρώνω
disinterestedness,ανιδιοτέλεια
disjointed,χωρίς ειρμό
disk,δίσκος
dislike,αντιπαθώ
dislocate,εξαρθρώνω
dislocation,εξάρθρωση
disloyal to,άπιστος
disloyalty to,απιστία
dismantle,κατεδαφίζω
dismay,ανησυχία
dismiss,απολύω
dismissal,απόλυση
dismiss from,απολύω
dismount,πεζεύω
dismounting,πέζεμα
disobedient,ανυπάκουος
disobey,παρακούω
disorder,διαταραχή
disorderly,ακατάστατος
disorderly conduct,διατάραξη της κοινής ησυχίας
disorganised,ανοργάνωτος
disorientation,αποπροσανατολισμός
disparate,άνισος
dispensable,περιττός
dispensation,θρησκευτικός νόμος
dispense,εκτελώ συνταγή
disperse,διασκορπίζω
Dispersion,Διασπορά
dispersion,Διασπορά
displacement,εκτόπισμα
display,παρουσιάζω
displease,δυσαρεστώ
displeased,δυσαρεστημένος
displeasure,δυσφορία
disport,διασκεδάζω
disposable,μίας χρήσης
disposable nappies,πάνες της μιας χρήσης
disposed towards,διατειθεμένος
dispose of,εκποιώ
disposition,διάθεση
disproportional,δυσανάλογος
disproportuionally,δυσανάλογα
disputable,αμφισβητήσιμος
dispute,διεκδικώ
dispute about trifles,ερίζω περί όνου σκιάς
disquiet,ανησυχία
disregaarding,αψηφώντας
disregard,αψηφώ
disregard for,ασέβεια
disreputable,ανυπόληπτος
disreputably,κακόφημα
disrepute,κακή φήμη
disrupt,καταστρέφω
disruption,αναστάτωση
disruptive,διασπαστικός
dissatisfaction,δυσαρέσκεια
dissect,διαμελίζω
disseminate,διασπείρω
dissension,διχόνοια
dissent,διίσταμαι
dissenting,διιστάμενος
dissenting views,διιστάμενες απόψεις
dissertation,διατριβή
dissipate,καταδαπανώ
dissociation,διχασμός
dissoluble,διαλυτός
dissolute,έκλυτος
dissolve,διαλύω
dissolve into tears,αναλύομαι σε δάκρυα
dissolve into thin air,γίνομαι καπνός
dissonance,χασμωδία
dissuade,μεταπείθω
distaff,ρόκα
distance,απόσταση
distance in miles,απόσταση σε μίλια
distance oneself from,κρατώ τις αποστάσεις από
distant,απομακρυσμένος
distill,διυλίζω
distillation,απόσταξη
distilled water,απεσταγμένο νερό
distinct from,διαφορετικός από
distinction,δθιάκριση
distinction of merit,εύσημον
distinctive,ξεχωριστός
distinctly,σαφώς
distinctness,ευκρίνεια
distinguish between,ξεχωρίζω
distort,στρεβλώνω
distorted,διαστραμμένος
distract,διασπώ
distracted,αναστατωμένος
distraction,αναψυχή
distraught,αναστατωμένος
distress,καημός
distribute,μοιράζω
distributed,κατανεμημένος
distribution,διανομή
distributor,διανομέας
district,περιφέρεια
distrust,δεν εμπιστεύομαι
disturb,παρενοχλώ
disturbance,ενόχληση
disturbance of the peace,διατήρηση της ειρήνης
disturbances,διαταραχές
disturbing,ενοχλητικός
ditch,χαντάκι
diva,ντίβα
dive,καταγώγιο
diver,δύτης
diverge,αποκλίνω
divergence,απόκλιση
diverging,που διίσταται
diversion,αντιπερισπασμός
diversity,ποικιλία
